,Edad,Individuos_Hogar,Provincia,Tema_Interes,Tiempo_Ducha,Frecuencia_lavadora,Frecuencia_lavavajillas,Modo_ECO,Reciclar_agua,Reciclar_material,Consumo_carne,km_coche,Gasto_mascotas,m2_jardin,Consumo_agua_€
0,Entre 36 y 65 años,3.0,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €
1,Entre 18 y 35 años,3.0,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Ni idea!
2,Entre 36 y 65 años,2.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,100 - 200 km,Menos de 50 €,0,Entre 10€ y 40 €
3,Entre 36 y 65 años,3.0,Segovia,Ahorrar dinero,Más de 15 minutos,Más de 5,1 vez al día,A veces,Si,A veces,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
4,Entre 18 y 35 años,2.0,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Más de 200 km,Más de 100 €,0,Entre 10€ y 40 €
5,Entre 36 y 65 años,4.0,Asturias,Conocer mi huella hídrica,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
6,Entre 36 y 65 años,2.0,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,No sabía que existía ese modo,Si,Siempre,1 vez cada 3 días,100 - 200 km,Menos de 50 €,50,Menos de 10 €
7,Entre 36 y 65 años,4.0,Asturias,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,Nunca!,1 vez cada 3 días,Menos de 100 km,No tengo mascota,20,Entre 10€ y 40 €
8,Entre 36 y 65 años,1.0,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Menos de 10 €
9,Entre 36 y 65 años,2.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Menos de 10 €
10,Entre 36 y 65 años,2.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez a la semana,No uso coche,Entre 50 y 100 €,0,Ni idea!
11,Entre 18 y 35 años,2.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,Si,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €
12,Entre 18 y 35 años,2.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,A veces,No,Siempre,Nunca!,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
13,Entre 36 y 65 años,2.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,15,Entre 10€ y 40 €
14,Entre 18 y 35 años,2.0,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Friego a mano,No sabía que existía ese modo,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Ni idea!
15,Entre 18 y 35 años,2.0,Baleares,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,10,Ni idea!
16,Entre 36 y 65 años,2.0,Guadalajara,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,A veces,Si,Siempre,1 vez cada 3 días,No uso coche,Entre 50 y 100 €,0,Entre 10€ y 40 €
17,Entre 36 y 65 años,4.0,Madrid,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,9,Ni idea!
18,Entre 18 y 35 años,3.0,Madrid,Ahorrar dinero,Entre 11 y 15 minutos,Entre 3 y 5 veces,Friego a mano,A veces,No,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Ni idea!
19,Entre 36 y 65 años,7.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Más de 5,1 vez al día,Siempre,No,A veces,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €
20,Entre 18 y 35 años,3.0,Madrid,Ahorrar dinero,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Ni idea!
21,Entre 36 y 65 años,3.0,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,1 vez al día,Más de 200 km,Entre 50 y 100 €,0,Ni idea!
22,Entre 36 y 65 años,2.0,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Ni idea!
23,Entre 36 y 65 años,4.0,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,Si,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Más de 40 €
24,Entre 36 y 65 años,2.0,Valencia,Ahorrar dinero,Menos de 5 minutos,Menos de 3 veces,Friego a mano,A veces,Si,A veces,1 vez a la semana,Más de 200 km,Menos de 50 €,0,Ni idea!
25,Entre 36 y 65 años,2.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €
26,Entre 36 y 65 años,2.0,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
27,Entre 18 y 35 años,2.0,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Menos de 10 €
28,Entre 36 y 65 años,2.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,No uso coche,Entre 50 y 100 €,0,Ni idea!
29,Entre 36 y 65 años,2.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez cada 3 días,100 - 200 km,Entre 50 y 100 €,1500,Más de 40 €
30,Entre 18 y 35 años,3.0,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €
31,Entre 18 y 35 años,1.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
32,Entre 18 y 35 años,2.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Nunca!,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
33,Entre 36 y 65 años,2.0,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Menos de 10 €
34,Mayor de 65 años,3.0,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez a la semana,100 - 200 km,Entre 50 y 100 €,2000,Entre 10€ y 40 €
35,Entre 36 y 65 años,3.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Más de 5,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
36,Entre 36 y 65 años,4.0,León,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,Siempre,1 vez al día,Menos de 100 km,Menos de 50 €,100,Entre 10€ y 40 €
37,Entre 18 y 35 años,5.0,Toledo,Ahorrar agua,Entre 11 y 15 minutos,Entre 3 y 5 veces,Friego a mano,A veces,Buena idea! Voy a probarlo!,A veces,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
38,Mayor de 65 años,3.0,Burgos,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,No sabía que existía ese modo,Si,A veces,1 vez al día,100 - 200 km,Menos de 50 €,45,Entre 10€ y 40 €
39,Entre 18 y 35 años,5.0,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,1 vez al día,No uso coche,Menos de 50 €,400,Ni idea!
40,Entre 36 y 65 años,4.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,25,Entre 10€ y 40 €
41,Entre 18 y 35 años,4.0,Madrid,Conocer mi huella hídrica,Más de 15 minutos,Menos de 3 veces,1 vez al día,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,Entre 50 y 100 €,1000,Ni idea!
42,Mayor de 65 años,2.0,Segovia,Conocer mi huella hídrica,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,Nunca!,No uso coche,Menos de 50 €,200,Menos de 10 €
43,Entre 36 y 65 años,2.0,Badajoz,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez a la semana,100 - 200 km,No tengo mascota,2,Ni idea!
44,Entre 36 y 65 años,3.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
45,Entre 18 y 35 años,2.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Ni idea!
46,Entre 18 y 35 años,1.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,A veces,No,Siempre,1 vez al día,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €
47,Mayor de 65 años,10.0,Zamora,Ahorrar dinero,Más de 15 minutos,Más de 5,Friego a mano,No sabía que existía ese modo,No,Nunca!,1 vez al día,Más de 200 km,Más de 100 €,288,Más de 40 €
48,Entre 18 y 35 años,3.0,A Coruña,Ayudar al ecosistema,Entre 11 y 15 minutos,Entre 3 y 5 veces,1 vez al día,No sabía que existía ese modo,No,Nunca!,Nunca!,No uso coche,Menos de 50 €,10,Ni idea!
49,Entre 36 y 65 años,4.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €
50,Entre 36 y 65 años,2.0,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez a la semana,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €
51,Entre 18 y 35 años,4.0,La Rioja,Ahorrar dinero,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Nunca!,1 vez al día,No uso coche,Menos de 50 €,0,Ni idea!
52,Entre 36 y 65 años,6.0,Cantabria,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
53,Entre 36 y 65 años,3.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,Nunca!,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
54,Entre 18 y 35 años,3.0,Álava,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Ni idea!
55,Entre 36 y 65 años,3.0,Madrid,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez a la semana,100 - 200 km,No tengo mascota,75,Más de 40 €
56,Entre 18 y 35 años,3.0,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,Siempre,1 vez cada 3 días,100 - 200 km,Menos de 50 €,4,Entre 10€ y 40 €
57,Entre 36 y 65 años,5.0,León,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,1 vez al día,A veces,No,Siempre,1 vez al día,100 - 200 km,Menos de 50 €,150,Entre 10€ y 40 €
58,Entre 36 y 65 años,4.0,Toledo,Ahorrar dinero,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €
59,Entre 36 y 65 años,3.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
60,Entre 36 y 65 años,2.0,Madrid,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,2,Entre 10€ y 40 €
61,Entre 36 y 65 años,4.0,Madrid,Ahorrar dinero,Menos de 5 minutos,Más de 5,1 vez al día,Siempre,No,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
62,Entre 36 y 65 años,3.0,Vizcaya,Conocer mi huella hídrica,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,Siempre,1 vez al día,Menos de 100 km,Menos de 50 €,0,Ni idea!
63,Entre 36 y 65 años,2.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
64,Entre 36 y 65 años,1.0,Madrid,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,No,A veces,1 vez a la semana,100 - 200 km,Entre 50 y 100 €,0,Entre 10€ y 40 €
65,Entre 36 y 65 años,2.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,No uso coche,Más de 100 €,0,Menos de 10 €
66,Entre 36 y 65 años,4.0,Segovia,Conocer mi huella hídrica,Menos de 5 minutos,Menos de 3 veces,1 vez al día,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Menos de 10 €
67,Entre 36 y 65 años,3.0,Navarra,Conocer mi huella hídrica,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Más de 40 €
68,Entre 18 y 35 años,4.0,A Coruña,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,Buena idea! Voy a probarlo!,Siempre,1 vez al día,No uso coche,Menos de 50 €,0,Ni idea!
69,Entre 36 y 65 años,5.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez cada 3 días,Más de 200 km,Menos de 50 €,500,Entre 10€ y 40 €
70,Entre 36 y 65 años,3.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Más de 5,1 vez al día,Siempre,Buena idea! Voy a probarlo!,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
71,Entre 36 y 65 años,2.0,Madrid,Ahorrar dinero,Menos de 5 minutos,Más de 5,Friego a mano,A veces,Si,Siempre,1 vez a la semana,No uso coche,Más de 100 €,0,Más de 40 €
72,Entre 18 y 35 años,2.0,Huelva,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,A veces,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
73,Entre 18 y 35 años,2.0,Segovia,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,1 vez al día,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez a la semana,Menos de 100 km,Menos de 50 €,0,Más de 40 €
74,Entre 36 y 65 años,8.0,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Más de 5,1 vez al día,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Más de 200 km,No tengo mascota,700,Más de 40 €
75,Entre 18 y 35 años,6.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Más de 5,1 vez al día,A veces,No,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Más de 40 €
76,Menor de 18 años,4.0,Murcia,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,A veces,1 vez al día,No uso coche,No tengo mascota,0,Ni idea!
77,Entre 36 y 65 años,5.0,Zaragoza,Ahorrar agua,Entre 5 y 10 minutos,Más de 5,1 vez al día,Siempre,Si,Siempre,1 vez al día,Más de 200 km,Menos de 50 €,80,Más de 40 €
78,Entre 36 y 65 años,2.0,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,No,A veces,Nunca!,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
79,Entre 36 y 65 años,7.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Más de 5,1 vez al día,A veces,No,A veces,1 vez al día,100 - 200 km,No tengo mascota,0,Ni idea!
80,Entre 36 y 65 años,3.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez a la semana,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
81,Mayor de 65 años,2.0,La Rioja,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
82,Entre 36 y 65 años,6.0,Madrid,Ahorrar agua,Menos de 5 minutos,Más de 5,1 vez al día,Siempre,No,Siempre,1 vez al día,100 - 200 km,No tengo mascota,400,Más de 40 €
83,Entre 36 y 65 años,5.0,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Más de 40 €
84,Entre 18 y 35 años,1.0,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,A veces,Nunca!,Menos de 100 km,Entre 50 y 100 €,200,Ni idea!
85,Entre 36 y 65 años,1.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
86,Entre 18 y 35 años,3.0,Barcelona,Ahorrar dinero,Entre 11 y 15 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Nunca!,1 vez al día,Menos de 100 km,Menos de 50 €,0,Más de 40 €
87,Entre 36 y 65 años,3.0,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,No sabía que existía ese modo,Si,Siempre,1 vez a la semana,100 - 200 km,Menos de 50 €,0,Ni idea!
88,Entre 36 y 65 años,1.0,A Coruña,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
89,Entre 18 y 35 años,2.0,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,Más de 200 km,No tengo mascota,0,Menos de 10 €
90,Entre 36 y 65 años,2.0,Málaga,Conocer mi huella hídrica,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez a la semana,100 - 200 km,No tengo mascota,6,Entre 10€ y 40 €
91,Entre 36 y 65 años,2.0,Asturias,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!
92,Entre 18 y 35 años,3.0,Madrid,Conocer mi huella hídrica,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,A veces,Si,Siempre,Nunca!,Más de 200 km,Menos de 50 €,0,Ni idea!
93,Entre 18 y 35 años,5.0,Málaga,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,1 vez al día,No uso coche,Entre 50 y 100 €,0,Más de 40 €
94,Entre 36 y 65 años,5.0,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,Siempre,Si,Siempre,1 vez al día,100 - 200 km,Menos de 50 €,50,Ni idea!
95,Entre 18 y 35 años,4.0,Madrid,Ahorrar dinero,Entre 11 y 15 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,A veces,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €
96,Entre 36 y 65 años,4.0,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
97,Entre 18 y 35 años,5.0,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,Nunca!,No uso coche,No tengo mascota,0,Ni idea!
98,Entre 36 y 65 años,5.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,150,Entre 10€ y 40 €
99,Entre 18 y 35 años,2.0,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,1 vez a la semana,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
100,Entre 36 y 65 años,1.0,Palencia,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,1 vez a la semana,No uso coche,No tengo mascota,0,Menos de 10 €
101,Entre 18 y 35 años,2.0,Segovia,Conocer mi huella hídrica,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,Más de 200 km,No tengo mascota,5,Ni idea!
102,Entre 36 y 65 años,3.0,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,Siempre,Si,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!
103,Entre 36 y 65 años,1.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez a la semana,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €
104,Entre 36 y 65 años,2.0,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez al día,100 - 200 km,Menos de 50 €,30,Entre 10€ y 40 €
105,Entre 36 y 65 años,2.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Menos de 10 €
106,Entre 36 y 65 años,2.0,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,300,Más de 40 €
107,Entre 36 y 65 años,4.0,Madrid,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,Si,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
108,Entre 18 y 35 años,4.0,Navarra,Ahorrar dinero,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Ni idea!
109,Entre 18 y 35 años,2.0,Madrid,Ahorrar dinero,Más de 15 minutos,Más de 5,Entre 3 y 5 a la semana,No sabía que existía ese modo,No,Nunca!,1 vez al día,Más de 200 km,No tengo mascota,500,Ni idea!
110,Entre 36 y 65 años,5.0,Madrid,Conocer mi huella hídrica,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,No sabía que existía ese modo,No,Nunca!,1 vez a la semana,Más de 200 km,No tengo mascota,0,Más de 40 €
111,Entre 36 y 65 años,1.0,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Si,A veces,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
112,Entre 36 y 65 años,6.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Más de 5,1 vez al día,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,140,Entre 10€ y 40 €
113,Entre 18 y 35 años,3.0,Málaga,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,A veces,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
114,Entre 18 y 35 años,3.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,Nunca!,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
